Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
13:41:56  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
13:41:57  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_TRD169          |null                |Turning             
13:41:58  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_TRD169          |null                |Turning             
13:41:59  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD169          |null                |Turning             
13:42:00  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD169          |null                |Turning             
13:42:01  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD169          |null                |Turning             
13:42:03  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD169          |null                |Turning             
13:42:04  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD169          |null                |Turning             
13:42:05  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD169          |null                |Threading           
13:42:06  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD169          |null                |Threading           
13:42:07  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD169          |null                |Threading           
13:42:08  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD169          |null                |Threading           
13:42:09  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD169          |null                |Threading           
13:42:10  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
13:42:11  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD169          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
13:42:13  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:14  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:15  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:16  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:17  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
13:42:18  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
